sampling,optimizer,q,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_acc_mean,val_acc_std,epoch_seconds_mean,n
rr,muon,1,3.7517010002887896,,3.272395132446289,,0.2082,,187.8236153125763,1
rr,sgdm,0,3.825203360007901,,3.4139052227020263,,0.1826,,153.2875258922577,1
us,muon,1,3.7441234861101433,,3.322760642242432,,0.2,,189.50941348075867,1
us,sgdm,0,3.818628489677542,,3.470766018295288,,0.1758,,152.7658896446228,1
